author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539810/,Москва,sale,flat,4,6,3,180.0,-1,0,120000000,Басманный,Большой Казенный переулок,5,Курская,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/297725136/,Москва,sale,flat,3,7,3,103.0,-1,0,140000000,Замоскворечье,Садовническая ,57С2,Новокузнецкая,Wine House
MadeState,real_estate_agent,https://www.cian.ru/sale/flat/301557846/,Москва,sale,flat,1,17,3,123.0,-1,0,49000000,Покровское-Стрешнево,Врачебный проезд,10К3,Щукинская,
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/297615874/,Москва,sale,flat,47,54,3,160.8,-1,0,194800000,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539700/,Москва,sale,flat,4,12,3,146.0,-1,0,106500000,Замоскворечье,Климентовский переулок,2,Новокузнецкая,
АБ Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/300099663/,Москва,sale,flat,2,9,3,58.3,-1,0,12700000,Чертаново Южное,Россошанский проезд,5К1,Улица Академика Янгеля,
НДВ,real_estate_agent,https://www.cian.ru/sale/flat/299404361/,Москва,sale,flat,5,5,3,111.0,-1,0,57000000,Южное Тушино,проезд Досфлота,12,Сходненская,"Досфлота, 10"
ID 109135729,realtor,https://www.cian.ru/sale/flat/300650864/,Москва,sale,flat,3,11,3,118.71,-1,0,126890000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Вертикаль,real_estate_agent,https://www.cian.ru/sale/flat/300131882/,Москва,sale,flat,4,11,3,79.9,-1,0,36500000,Преображенское,Краснобогатырская ,90С1,Преображенская площадь,Наследие
НДВ,real_estate_agent,https://www.cian.ru/sale/flat/299693462/,Москва,sale,flat,5,5,3,133.6,-1,0,60000000,Южное Тушино,проезд Досфлота,12,Сходненская,"Досфлота, 10"
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/297089048/,Москва,sale,flat,26,35,3,71.0,-1,0,29950000,Останкинский, Годовикова,11к4,Алексеевская,iLove
PANDA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/298002096/,Москва,sale,flat,4,15,3,160.0,-1,0,95000000,Раменки,Мичуринский проспект,6К1,Ломоносовский проспект,
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/298835813/,Москва,sale,flat,10,22,3,96.6,-1,0,34000000,Черемушки, Каховка,18к1,Зюзино,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/296811013/,Москва,sale,flat,8,23,3,115.0,-1,0,50000000,Аэропорт,Часовая ,23к1,Сокол,Весна на Балтийском
Стоун Бридж эстейт,real_estate_agent,https://www.cian.ru/sale/flat/300866682/,Москва,sale,flat,2,23,3,80.0,-1,0,35000000,Можайский,Можайское шоссе,6К1,Кунцевская,
